,,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
pipe3,No_sampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.1758,0.8985,0.8947,0.9803,0.0985,0.8163
pipe3,SMOTE,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5455,0.8661,0.8561,0.9968,0.4337,0.7347
pipe3,SMOTE,1,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.5496,0.8661,0.8561,0.9969,0.439,0.7347
pipe3,SMOTE,2,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.1572,0.8971,0.8934,0.9774,0.087,0.8163
pipe3,SMOTE,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.7129,0.8669,0.8568,0.9985,0.6923,0.7347
pipe3,SMOTE,4,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.7872,0.8773,0.8688,0.9989,0.8222,0.7551
pipe3,SMOTE,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.7789,0.8773,0.8688,0.9989,0.8043,0.7551
pipe3,SMOTE,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.7789,0.8773,0.8688,0.9989,0.8043,0.7551
pipe3,RandOverSampling,0,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.7273,0.867,0.8568,0.9986,0.72,0.7347
pipe3,RandOverSampling,1,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.7216,0.8568,0.8449,0.9986,0.7292,0.7143
pipe3,RandOverSampling,2,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.1643,0.8977,0.894,0.9786,0.0913,0.8163
pipe3,RandOverSampling,3,BalancedBaggingClassifier, BalancedBaggingClassifier+RandomOverSampler ,RandomOverSampler,0.75,0.8671,0.8569,0.9987,0.7659999999999999,0.7347
pipe3,RandOverSampling,4,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.7816,0.8468,0.8329,0.9990000000000001,0.8947,0.6939
pipe3,RandOverSampling,5,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.7912,0.8672,0.857,0.9990000000000001,0.8571,0.7347
pipe3,RandOverSampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.7742,0.8671,0.857,0.9989,0.8182,0.7347
pipe3,BorderlineSmote,0,DecisionTreeClassifier, DecisionTreeClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.5688,0.8156,0.7948,0.9975,0.5167,0.6327
pipe3,BorderlineSmote,1,RUSBoostClassifier, RUSBoostClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.6126,0.8462,0.8324,0.9977,0.5484,0.6939
pipe3,BorderlineSmote,2,LogisticRegression, LogisticRegression+BorderlineSMOTE ,BorderlineSMOTE,0.2261,0.8912,0.8861,0.9859,0.1318,0.7959
pipe3,BorderlineSmote,3,BalancedBaggingClassifier, BalancedBaggingClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.6598,0.8261,0.8078,0.9983,0.6667,0.6531
pipe3,BorderlineSmote,4,RandomForestClassifier, RandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8276,0.8673,0.8571,0.9992,0.9474,0.7347
pipe3,BorderlineSmote,5,EasyEnsembleClassifier, EasyEnsembleClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7957,0.8774,0.8688,0.9990000000000001,0.8409,0.7551
pipe3,BorderlineSmote,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7957,0.8774,0.8688,0.9990000000000001,0.8409,0.7551
pipe3,SVM-Smote,0,DecisionTreeClassifier, DecisionTreeClassifier+SVMSMOTE ,SVMSMOTE,0.6923,0.8668,0.8567,0.9983,0.6545,0.7347
