,,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,ranked-f1,ranked-roc,ranked-gmean,combined-rank(divided by 3),combined-rank(undivided)
pipe2,SVM-Smote,0,DecisionTreeClassifier, DecisionTreeClassifier+SVMSMOTE ,SVMSMOTE,0.7387,0.9179999999999999,0.9144,64.0,91.0,91.0,82.0,246.0
pipe2,RandOverSampling,5,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.8478,0.8979,0.8921,114.0,65.0,64.0,81.0,243.0
pipe4,RandOverSampling,1,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.8163,0.9077,0.9031,99.0,72.0,72.0,81.0,243.0
pipe4,SVM-Smote,2,LogisticRegression, LogisticRegression+SVMSMOTE ,SVMSMOTE,0.3206,0.9195,0.9174,27.0,105.0,105.0,79.0,237.0
pipe4,No_sampling,0,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.8298,0.8976,0.8919,105.0,62.0,59.0,75.33333333333333,226.0
pipe4,No_sampling,4,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.8736,0.8878,0.8806,126.0,49.0,49.0,74.66666666666667,224.0
pipe2,BorderlineSmote,0,DecisionTreeClassifier, DecisionTreeClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7547,0.9079,0.9032,69.0,74.0,74.0,72.33333333333333,217.0
pipe2,SMOTE,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5467,0.9173,0.9138,40.0,87.0,87.0,71.33333333333333,214.0
pipe4,SMOTE-Tomek,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.5985,0.9159,0.9125,48.0,83.0,83.0,71.33333333333333,214.0
pipe2,SMOTE-Tomek,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.5467,0.9173,0.9138,40.0,87.0,87.0,71.33333333333333,214.0
pipe4,SMOTE,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5985,0.9159,0.9125,48.0,83.0,83.0,71.33333333333333,214.0
pipe2,SMOTE-Tomek,1,RUSBoostClassifier, RUSBoostClassifier+SMOTETomek ,SMOTETomek,0.5429999999999999,0.9173,0.9138,35.0,87.0,87.0,69.66666666666667,209.0
pipe2,SMOTE,1,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.5429999999999999,0.9173,0.9138,35.0,87.0,87.0,69.66666666666667,209.0
pipe4,SVM-Smote,1,RUSBoostClassifier, RUSBoostClassifier+SVMSMOTE ,SVMSMOTE,0.7879,0.8974,0.8916,89.0,60.0,57.0,68.66666666666667,206.0
